tree_id,type,x,y,z,radius,nx,ny,nz
0,trunk,16.93140043599596,7.863902803843484,0.0,0.18,0,0,0
0,leaf,18.553157341867504,7.62559163609836,5.375243542135615,0.09,0.0,0.0,1.0
0,leaf,17.216956452163302,7.141905460218118,6.459545841653588,0.09,0.0,0.0,1.0
0,leaf,15.952766490706585,8.556764099334702,4.813347395134848,0.09,0.0,0.0,1.0
0,leaf,16.482559794086516,6.6264446689864815,3.4544050427793476,0.09,0.0,0.0,1.0
0,leaf,16.242326167461325,6.858206149686554,3.302451634477246,0.09,0.0,0.0,1.0
0,leaf,17.026852682121373,7.07435839201904,2.1663476411844194,0.09,0.0,0.0,1.0
0,leaf,17.73802789048374,8.797047511034869,2.546400910108921,0.09,0.0,0.0,1.0
0,leaf,16.91259807088675,7.541219432939627,4.144028702162152,0.09,0.0,0.0,1.0
0,leaf,16.109593278607193,8.720838580118658,3.104690278916845,0.09,0.0,0.0,1.0
0,leaf,15.496057943494737,7.457815321506679,6.188105041495025,0.09,0.0,0.0,1.0
0,leaf,17.35198298057708,8.869338296085772,3.2857919995076736,0.09,0.0,0.0,1.0
0,leaf,17.12826872451225,7.916199022777105,4.29731602439591,0.09,0.0,0.0,1.0
0,leaf,16.526878880558776,6.2495999403053135,4.4229920274875765,0.09,0.0,0.0,1.0
0,leaf,16.494527430979065,6.576423599969544,6.250697881820964,0.09,0.0,0.0,1.0
0,leaf,16.665666961872404,8.53866335480233,3.429388684871771,0.09,0.0,0.0,1.0
0,leaf,16.25599901236829,6.3597173402719385,4.39700045906339,0.09,0.0,0.0,1.0
0,leaf,16.35847864506462,8.743089976808243,4.867521965354781,0.09,0.0,0.0,1.0
0,leaf,16.919034816300027,8.9483879775283,2.7787944878221973,0.09,0.0,0.0,1.0
0,leaf,15.57317894813696,9.122589843695614,4.595501588528984,0.09,0.0,0.0,1.0
0,leaf,16.097154023151308,6.674829498301964,4.6828268744275965,0.09,0.0,0.0,1.0
0,leaf,16.60440427702619,6.240388700439473,4.723797331941354,0.09,0.0,0.0,1.0
0,leaf,15.867761249722477,9.174564316433566,3.1767841722769377,0.09,0.0,0.0,1.0
0,leaf,16.35790960265672,7.7120924200745264,3.742270860240175,0.09,0.0,0.0,1.0
0,leaf,15.983870883876898,7.793255506617794,2.975476006341013,0.09,0.0,0.0,1.0
0,leaf,17.514310844451867,6.729459230831594,4.038502421034051,0.09,0.0,0.0,1.0
0,leaf,18.81743959839111,8.166735097887235,3.665100763823742,0.09,0.0,0.0,1.0
0,leaf,16.05609290583419,6.866094412849796,2.6738023735445706,0.09,0.0,0.0,1.0
0,leaf,18.598902785555605,8.869318282976533,4.95602260737458,0.09,0.0,0.0,1.0
0,leaf,17.762076317368265,9.407250746666655,5.9291259835073085,0.09,0.0,0.0,1.0
0,leaf,17.26003578602423,6.503243203736207,5.323305393270726,0.09,0.0,0.0,1.0
0,leaf,16.88245251057025,8.95363361322632,2.970234642637018,0.09,0.0,0.0,1.0
0,leaf,16.444004951223565,8.47421526581163,5.004841106050329,0.09,0.0,0.0,1.0
0,leaf,16.49815982994856,7.43482805619227,3.781622614225201,0.09,0.0,0.0,1.0
0,leaf,17.109788955064378,8.678264409454231,4.805436243623175,0.09,0.0,0.0,1.0
0,leaf,17.857955750347347,8.554913074148114,6.283710988312293,0.09,0.0,0.0,1.0
0,leaf,17.404078797084633,6.678440253239453,6.808430344467347,0.09,0.0,0.0,1.0
0,leaf,17.38492101708939,6.259010197865679,5.717297825810994,0.09,0.0,0.0,1.0
0,leaf,16.43928076347586,6.463916194905069,3.1478961756629467,0.09,0.0,0.0,1.0
0,leaf,17.862216235307162,7.153467370037333,3.9381206296992266,0.09,0.0,0.0,1.0
0,leaf,16.740096955589426,8.972095430620112,2.9895782262906927,0.09,0.0,0.0,1.0
0,leaf,17.809919762009386,7.743984131283483,6.32697267502704,0.09,0.0,0.0,1.0
